	Ημ/νία	Τελευταία	’νοιγμα	Υψηλό	Χαμηλό	Όγκος	Αλλ.%
159	06.03.2023	253,98	255,65	255,7	251,58	2320000	1,89%
158	07.03.2023	246,14	254,05	254,75	245,95	3020000	-1,84%
157	08.03.2023	248,72	247,99	251,11	246,75	2070000	8,40%
156	09.03.2023	240,96	248,95	250,13	240,6	2520000	1,61%
155	10.03.2023	227,01	236,31	238,13	225,8	5770000	-1,98%
154	13.03.2023	224,7	222,58	228,33	221,54	4890000	-0,90%
153	14.03.2023	225,67	228,99	229,59	222,2	3750000	0,87%
152	15.03.2023	217,26	219,4	221,18	212,57	5470000	0,13%
151	16.03.2023	218,71	215,67	219,81	213,32	3560000	-1,42%
150	17.03.2023	215,01	217,4	217,4	211,43	7200000	-0,72%
149	20.03.2023	220,31	217,35	221,87	216,48	3460000	-0,24%
148	21.03.2023	224,92	224,06	226	223,61	3070000	0,03%
147	22.03.2023	219,95	225,17	226,59	219,86	2930000	1,24%
146	23.03.2023	219,44	220,51	225,3	217,6	2960000	2,36%
145	24.03.2023	217,01	216,85	217,43	213,14	2980000	-1,94%
144	27.03.2023	218	214,93	218,96	213,92	3210000	0,84%
143	28.03.2023	220,16	218,15	220,56	217,71	1800000	-0,23%
142	29.03.2023	223	222,74	223,22	221,5	1860000	-1,47%
141	30.03.2023	224,54	225,05	226,34	223,99	1920000	-0,15%
140	31.03.2023	228,84	226,38	229,05	224,9	2750000	-0,61%
139	03.04.2023	229,87	230,01	233,85	228,86	2240000	-0,14%
138	04.04.2023	217,45	228,9	229,49	216,25	4280000	2,24%
137	05.04.2023	213,53	216,2	217,88	211,55	4270000	-2,44%
136	06.04.2023	209,17	212,67	213	208,94	4180000	0,23%
135	10.04.2023	215,53	210,22	216,09	209,32	3840000	-0,98%
134	11.04.2023	220,6	216,17	222,9	216,17	3880000	-0,70%
133	12.04.2023	220,5	222,15	223,21	219,89	2390000	2,09%
132	13.04.2023	221,67	219,94	222,18	216,66	2910000	-0,86%
131	14.04.2023	223,68	222,99	225,83	221,44	2250000	-1,12%
130	17.04.2023	225,24	225,01	226,92	224,3	1750000	-2,15%
129	18.04.2023	225,2	225,56	227,5	224,06	2570000	1,43%
128	19.04.2023	224,65	224,8	225,15	222,41	2080000	-0,90%
127	20.04.2023	222,27	222,42	224,22	220,93	2830000	-1,06%
126	21.04.2023	220,27	220,67	220,99	217,5	2710000	-0,24%
125	24.04.2023	223,43	220,53	223,68	220,53	2790000	-0,02%
124	25.04.2023	218,63	222,36	223,23	218,27	2510000	0,70%
123	26.04.2023	216,19	217,73	220,39	216,12	3250000	0,91%
122	27.04.2023	214,33	210,48	216,08	204,04	7710000	0,53%
121	28.04.2023	218,8	213,24	220,55	213	4670000	-0,05%
120	01.05.2023	217,27	219,34	221,96	216,53	2880000	2,35%
119	02.05.2023	215,15	217,11	217,11	210,59	2860000	3,04%
118	03.05.2023	215,64	215,64	219,17	214,86	2640000	-2,04%
117	04.05.2023	210,38	216,05	216,93	209,33	3210000	-1,80%
116	05.05.2023	215,09	213,59	215,68	212,4	2720000	-5,40%
