	Ημ/νία	Τελευταία	’νοιγμα	Υψηλό	Χαμηλό	Όγκος	Αλλ.%
175	28.04.2023	1,1638	1,176	1,1781	1,1621	1260000	-1,04%
174	29.04.2023	1,1698	1,1642	1,1833	1,1542	1970000	2,14%
173	30.04.2023	1,1817	1,1698	1,2278	1,1643	3520000	1,98%
172	01.05.2023	1,148	1,181	1,1907	1,1352	2670000	-2,71%
171	02.05.2023	1,1551	1,1473	1,1563	1,13	1640000	-3,48%
170	03.05.2023	1,1649	1,1551	1,1747	1,1216	2740000	8,31%
169	04.05.2023	1,1638	1,1647	1,2145	1,1511	4580000	3,55%
168	05.05.2023	1,1723	1,1634	1,1867	1,1564	1780000	-1,66%
167	06.05.2023	1,1376	1,1715	1,1777	1,1334	1620000	-1,29%
166	07.05.2023	1,1336	1,1373	1,1659	1,1312	1280000	-0,98%
165	08.05.2023	1,0929	1,1332	1,1411	1,0578	2950000	0,93%
164	09.05.2023	1,0898	1,0925	1,1107	1,0827	1290000	2,18%
163	10.05.2023	1,0999	1,091	1,1349	1,0831	1960000	1,76%
162	11.05.2023	1,0744	1,1002	1,1006	1,0571	1490000	3,12%
161	12.05.2023	1,1187	1,0729	1,1271	1,0524	3000000	-7,20%
160	13.05.2023	1,1144	1,1187	1,1213	1,1045	840900	0,31%
159	14.05.2023	1,1167	1,1132	1,1237	1,1043	1030000	-0,59%
158	15.05.2023	1,1129	1,1158	1,1374	1,1069	1110000	-1,11%
157	16.05.2023	1,0942	1,1124	1,119	1,0845	1190000	1,19%
156	17.05.2023	1,1116	1,0942	1,117	1,0783	1950000	-3,75%
155	18.05.2023	1,1077	1,1115	1,1341	1,092	2180000	2,92%
154	19.05.2023	1,0834	1,1077	1,1077	1,0821	1670000	-4,39%
153	20.05.2023	1,0917	1,0828	1,0975	1,0808	893150	2,63%
152	21.05.2023	1,0649	1,0923	1,0948	1,0569	1260000	-1,85%
151	22.05.2023	1,0702	1,0631	1,0783	1,0555	1100000	3,36%
150	23.05.2023	1,1024	1,0702	1,1176	1,0629	2010000	0,59%
149	24.05.2023	1,0735	1,103	1,1039	1,0575	1350000	-5,98%
148	25.05.2023	1,0673	1,0735	1,0758	1,058	808050	0,95%
147	26.05.2023	1,077	1,0667	1,0839	1,0622	1020000	1,14%
146	27.05.2023	1,0995	1,0767	1,1166	1,075	1580000	2,82%
145	28.05.2023	1,1217	1,0995	1,1333	1,0982	1130000	9,11%
144	29.05.2023	1,0962	1,1196	1,1214	1,084	1610000	-1,87%
143	30.05.2023	1,0915	1,0961	1,0998	1,0869	754210	-4,65%
142	31.05.2023	1,0769	1,0916	1,0948	1,0674	1220000	-5,13%
141	01.06.2023	1,0685	1,0769	1,1062	1,0634	1780000	-2,30%
140	02.06.2023	1,0732	1,0685	1,0792	1,0623	963310	-3,53%
139	03.06.2023	1,0753	1,0729	1,0822	1,0656	752410	-3,60%
138	04.06.2023	1,0707	1,0753	1,0862	1,0702	999750	4,84%
137	05.06.2023	0,9522	1,0706	1,0757	0,9396	5780000	1,25%
136	06.06.2023	0,9751	0,9523	0,9992	0,9264	4130000	-3,14%
135	07.06.2023	0,8889	0,9759	0,9759	0,8777	5550000	1,49%
134	08.06.2023	0,8979	0,8888	0,945	0,8769	3390000	-2,75%
133	09.06.2023	0,9014	0,8987	0,9155	0,886	1770000	-3,05%
132	10.06.2023	0,7396	0,9014	0,9031	0,7114	12480000	3,00%
131	11.06.2023	0,738	0,7396	0,7615	0,7322	2840000	-2,29%
130	12.06.2023	0,7316	0,7384	0,7515	0,7124	4650000	-2,46%
129	13.06.2023	0,7484	0,7321	0,7596	0,7241	3200000	-0,79%
128	14.06.2023	0,8394	0,7489	0,8916	0,7486	17450000	-3,65%
127	15.06.2023	0,8521	0,8395	0,9038	0,803	17060000	0,54%
126	16.06.2023	0,9225	0,853	0,9638	0,8491	11710000	2,94%
125	17.06.2023	0,9139	0,9221	0,9738	0,9121	5970000	-1,87%
124	18.06.2023	0,9059	0,9137	0,9154	0,8869	2230000	0,03%
123	19.06.2023	0,9476	0,9059	0,9672	0,9002	5900000	4,20%
122	20.06.2023	0,948	0,9483	0,9596	0,9107	3370000	-5,96%
121	21.06.2023	0,9631	0,9478	0,977	0,9417	4780000	4,46%
120	22.06.2023	0,9251	0,9628	0,9806	0,9214	3550000	4,44%
119	23.06.2023	0,9338	0,9241	0,9505	0,9207	2250000	-5,36%
118	24.06.2023	0,9187	0,9338	0,9474	0,9089	1870000	1,04%
117	25.06.2023	0,9223	0,9185	0,934	0,9101	1630000	1,60%
116	26.06.2023	0,8968	0,923	0,9267	0,8938	1410000	1,39%
115	27.06.2023	0,9199	0,8974	0,9245	0,894	1310000	-9,29%
114	28.06.2023	0,8849	0,9199	0,9238	0,8724	2040000	-4,19%
113	29.06.2023	0,8746	0,8845	0,8925	0,859	2200000	2,34%
112	30.06.2023	0,8816	0,8749	0,9159	0,8462	4810000	-2,19%
111	01.07.2023	0,8769	0,8825	0,8863	0,8662	1590000	-5,24%
110	02.07.2023	0,8742	0,8765	0,879	0,8562	1110000	0,08%
109	03.07.2023	0,8816	0,8742	0,8952	0,8662	2090000	2,69%
108	04.07.2023	0,902	0,8816	0,9148	0,878	2900000	-2,47%
107	05.07.2023	0,858	0,9021	0,9206	0,8512	3230000	1,56%
106	06.07.2023	0,8521	0,8559	0,882	0,8506	2280000	1,37%
105	07.07.2023	0,8506	0,8521	0,8632	0,84	1250000	-6,46%
104	08.07.2023	0,8401	0,851	0,856	0,8327	913000	-1,27%
103	09.07.2023	0,8321	0,8401	0,8473	0,8301	903970	4,39%
102	10.07.2023	0,8437	0,8321	0,8567	0,8216	2090000	12,58%
101	11.07.2023	0,8384	0,8436	0,845	0,8311	1580000	-0,01%
100	12.07.2023	0,8293	0,8381	0,8452	0,8193	1800000	1,68%
99	13.07.2023	0,8599	0,829	0,8686	0,821	3910000	-2,89%
98	14.07.2023	0,8392	0,8607	0,8666	0,8246	3050000	1,00%
97	15.07.2023	0,8404	0,8384	0,8515	0,8325	1180000	0,26%
96	16.07.2023	0,8261	0,8408	0,8486	0,826	1110000	-1,10%
95	17.07.2023	0,838	0,8261	0,8444	0,8254	1490000	5,43%
94	18.07.2023	0,8347	0,8378	0,847	0,821	1200000	3,21%
93	19.07.2023	0,8419	0,8338	0,8454	0,8285	1620000	-7,73%
92	20.07.2023	0,8428	0,8417	0,866	0,8327	2250000	-1,27%
91	21.07.2023	0,8484	0,8432	0,86	0,8432	1220000	-0,89%
90	22.07.2023	0,8653	0,8484	0,8665	0,8451	1500000	-1,68%
89	23.07.2023	0,8733	0,8657	0,89	0,853	2080000	2,74%
88	24.07.2023	0,9434	0,8738	0,97	0,8571	15680000	3,83%
87	25.07.2023	0,9225	0,9433	0,9686	0,9028	5690000	-0,35%
86	26.07.2023	0,9082	0,9239	0,9454	0,8907	3270000	-0,50%
85	27.07.2023	0,9052	0,9082	0,9164	0,8957	963210	1,05%
84	28.07.2023	0,8859	0,9038	0,9088	0,883	1100000	3,89%
83	29.07.2023	0,9137	0,8859	0,9296	0,881	1890000	0,71%
82	30.07.2023	0,8994	0,9138	0,9301	0,8856	1440000	0,31%
81	31.07.2023	0,9006	0,8994	0,9055	0,889	848400	0,52%
80	01.08.2023	0,9666	0,9013	0,9688	0,9005	8530000	-3,23%
79	02.08.2023	0,9389	0,9678	0,9868	0,9292	5140000	0,05%
78	03.08.2023	0,9205	0,9392	0,9541	0,9123	1750000	-2,54%
77	04.08.2023	0,9031	0,9216	0,9387	0,8906	2060000	4,75%
76	05.08.2023	0,9019	0,903	0,9038	0,8862	804180	-0,28%
75	06.08.2023	0,8922	0,9021	0,911	0,8887	991830	4,94%
74	07.08.2023	0,9213	0,8911	0,9286	0,8669	3420000	1,44%
73	08.08.2023	0,9238	0,9214	0,9373	0,9001	2440000	6,56%
72	09.08.2023	0,9161	0,9236	0,93	0,9055	924760	-6,56%
71	10.08.2023	0,9061	0,9161	0,919	0,9002	779720	-1,64%
70	11.08.2023	0,9032	0,9061	0,9162	0,8991	856470	-0,16%
69	12.08.2023	0,9013	0,9029	0,9174	0,9011	1080000	-5,29%
68	13.08.2023	0,9037	0,9013	0,9129	0,8958	926030	-3,23%
67	14.08.2023	0,9474	0,9037	0,9474	0,9034	2370000	-0,44%
66	15.08.2023	0,9304	0,9479	0,9713	0,9189	4020000	-2,19%
65	16.08.2023	0,8656	0,9284	0,9379	0,8481	3060000	-5,98%
64	17.08.2023	0,8498	0,8645	0,8863	0,8357	2490000	10,77%
63	18.08.2023	0,8635	0,8512	0,868	0,8404	1760000	-13,83%
62	19.08.2023	0,8756	0,8635	0,8866	0,851	1370000	1,73%
61	20.08.2023	0,8757	0,8758	0,88	0,8619	995890	-3,85%
60	21.08.2023	0,8742	0,8757	0,9011	0,8514	1880000	-18,64%
59	22.08.2023	0,8489	0,8739	0,8744	0,8208	1360000	-3,11%
58	23.08.2023	0,8576	0,8482	0,8746	0,8463	1310000	-1,27%
57	24.08.2023	0,8579	0,8572	0,868	0,8445	1100000	-4,83%
56	25.08.2023	0,8456	0,8578	0,8592	0,8391	896890	-10,90%
55	26.08.2023	0,8455	0,8456	0,8549	0,8405	625520	3,96%
54	27.08.2023	0,8528	0,8455	0,8674	0,8455	726630	-0,98%
53	28.08.2023	0,8334	0,8528	0,8548	0,8292	1120000	-1,91%
52	29.08.2023	0,8583	0,8332	0,861	0,8168	2590000	6,67%
51	30.08.2023	0,8379	0,859	0,8652	0,8325	1050000	4,84%
50	31.08.2023	0,8324	0,8379	0,865	0,8206	1900000	0,57%
49	01.09.2023	0,8015	0,8324	0,8441	0,7958	1660000	-4,20%
48	02.09.2023	0,8159	0,8015	0,8197	0,7968	904800	1,95%
47	03.09.2023	0,8096	0,8156	0,8197	0,805	782810	-3,06%
46	04.09.2023	0,8	0,8096	0,8134	0,7914	1340000	9,58%
45	05.09.2023	0,8007	0,8	0,8055	0,788	877900	7,34%
44	06.09.2023	0,8071	0,8006	0,8087	0,7882	986940	0,01%
43	07.09.2023	0,7984	0,8071	0,812	0,7926	1150000	4,19%
42	08.09.2023	0,799	0,7983	0,8061	0,7902	1060000	0,64%
41	09.09.2023	0,7915	0,799	0,8079	0,79	878860	-0,67%
40	10.09.2023	0,743	0,7913	0,7921	0,7415	2320000	-3,98%
39	11.09.2023	0,7998	0,7434	0,8261	0,7171	9570000	-3,25%
38	12.09.2023	0,777	0,8002	0,8282	0,7677	5490000	-1,03%
37	13.09.2023	0,7819	0,7771	0,7877	0,7723	1880000	-0,93%
36	14.09.2023	0,7875	0,7819	0,7971	0,7804	1350000	13,11%
35	15.09.2023	0,8037	0,7869	0,8072	0,7834	1110000	0,60%
34	16.09.2023	0,8127	0,8039	0,8173	0,8014	1180000	-11,17%
33	17.09.2023	0,7955	0,8131	0,8131	0,7889	677510	-5,62%
32	18.09.2023	0,8017	0,7955	0,8204	0,7874	1410000	7,40%
31	19.09.2023	0,8067	0,8016	0,8156	0,8	666590	0,21%
30	20.09.2023	0,8016	0,8065	0,8117	0,7955	849820	9,43%
29	21.09.2023	0,7894	0,8016	0,8056	0,7789	993080	-13,49%
28	22.09.2023	0,7842	0,7882	0,7946	0,7815	504930	17,99%
27	23.09.2023	0,7791	0,7842	0,7879	0,7762	616370	32,49%
26	24.09.2023	0,7597	0,7791	0,7833	0,759	755730	21,12%
25	25.09.2023	0,7654	0,7576	0,7699	0,7522	903170	1,34%
24	26.09.2023	0,7661	0,7656	0,7706	0,761	802040	12,47%
23	27.09.2023	0,7601	0,7661	0,7691	0,751	1610000	-9,58%
22	28.09.2023	0,7765	0,7606	0,78	0,7575	1080000	-1,36%
21	29.09.2023	0,7806	0,7762	0,7851	0,7722	595310	-0,05%
20	30.09.2023	0,7784	0,7806	0,7851	0,7737	754880	-2,25%
19	01.10.2023	0,7932	0,7784	0,7982	0,7707	1510000	-1,53%
18	02.10.2023	0,7933	0,7931	0,809	0,7834	1860000	5,71%
17	03.10.2023	0,7927	0,7934	0,8014	0,7774	1680000	-0,81%
16	04.10.2023	0,873	0,7922	0,9385	0,7819	22190000	-2,91%
15	05.10.2023	0,9749	0,8712	0,9838	0,864	16930000	-2,48%
14	06.10.2023	0,9344	0,9749	0,9749	0,9088	9490000	3,73%
13	07.10.2023	1,0141	0,9345	1,034	0,8925	12650000	3,39%
12	08.10.2023	1,0034	1,0148	1,0591	0,9841	11650000	0,10%
11	09.10.2023	0,9719	1,0031	1,0118	0,9482	5490000	1,44%
10	10.10.2023	0,9515	0,9718	0,9846	0,9489	2970000	-4,37%
9	11.10.2023	0,9348	0,9511	0,9531	0,9161	3480000	6,22%
8	12.10.2023	0,958	0,9361	0,9666	0,9089	4330000	5,46%
7	13.10.2023	0,9799	0,9597	0,98	0,9421	3100000	-5,87%
6	14.10.2023	1,0591	0,9788	1,1547	0,954	18220000	0,25%
5	15.10.2023	1,0994	1,0583	1,1512	1,0446	10300000	-1,10%
